title	Law school
question	Should I go to law school?
headline_1	Opportunities: Does going to law school expand opportunities?
pro_6_9	Law school aids in personal and professional decision-making	 Law school aids in personal and professional decision-making "Is law school a good investment?" Law Student blog. July 22nd, 2007: "Law school helps people make decisions in life, analyze factors and information, and articulate these decisions. This helps in the role of parent, friend, co-worker, and whatever profession the law school graduate eventually chooses."
pro_6_10	Law jobs, like all careers, have pros and cons.	Law jobs, like all careers, have pros and cons. There are pros and cons to every job, including legal work. Ultimately, all jobs are the same in this regard. So, the negatives of legal work should be seen in this comforting light.
con_6_1	Lawyers are usually unhappy	 Lawyers are usually unhappy Notre Dame's magazine summarizes some of the studies: "Lawyers suffer from depression, anxiety, hostility, paranoia, social alienation and isolation, obsessive-compulsiveness, and interpersonal sensitivity at alarming rates. For example, researchers affiliated with Johns Hopkins University found statistically significant elevations of major depressive disorder (AMDD@) in only three of 104 occupations: lawyers, pre-kindergarten and special education teachers, and secretaries. Lawyers topped the list, suffering from MDD at a rate 3.6 times higher than nonlawyers who shared their key socio-demographic traits."
con_6_2	No light at end of tunnel for successful students, attorneys.	No light at end of tunnel for successful students, attorneys. David Segal. "Is Law School a Losing Game?" New York Times. January 8, 2011: "what might be the ultimate ugly truth about law school: plenty of those who borrow, study and glad-hand their way into the gated community of Big Law are miserable soon after they move in. The billable-hour business model pins them to their desks and devours their free time. Hence the cliché: law school is a pie-eating contest where the first prize is more pie."
con_6_3	Successful lawyers encounter golden handcuffs	Successful lawyers encounter "golden handcuffs" "When my wife and I left D.C. almost ten years ago, many of the lawyers of our generation had made partner at big firms here in town and were well into their practices.  They were respected members of their firms.  They lived in large houses.  Many of them had stay-at-home spouses. Their kids were in private schools, and they traded in luxury cars every year for the latest model. And yet, having worked so hard to arrive, many of them were painfully dissatisfied with their lives. [...] One friend of ours stood on the deck of his beautiful home, overlooking a large, expensively landscaped yard in Arlington, and told us he felt like he was in golden handcuffs. I hate what I do. But if I stop, I will have to give up all of this."
con_6_4	Don't go to law school just because others do	 Don't go to law school just because others do Dahlia Lithwick. "Letter to a Young Law Student. Don't go to law school: But if you must, take my advice." Slate. Aug. 15, 2002: "If there is one law of law-school thinking it's this: 'If everyone else wants something, I must want it, too.' Not since the days of the Tonka backhoe and Malibu Skipper will you have so lunged for stuff in which you have no real interest, just because everyone else is lunging. Law school manages to impose odd new values on virtually everyone. And each step of the way, law students make choices—to interview with certain firms, take certain classes, apply for certain clerkships—based on an impoverished sense of other options and the fear that other people will get all the good stuff if you don't grab it. This is hard advice to give and harder, I expect, to take. Fear and conformity dig some pretty deep paths at law school. Don't just follow because they are there." 
con_6_5	Lawyers suffer from high divorce rates	 Lawyers suffer from high divorce rates Notre Dame's magazine summarizes some of the studies: "The divorce rate among lawyers appears to be higher than the divorce rate among other professionals. Felicia Baker LeClere of Notre Dame's Center for the Study of Contemporary Society compared the incidence of divorce among lawyers to the incidence of divorce among doctors, using data from the 1990 census. LeClere found that the percentage of lawyers who are divorced is higher than the percentage of doctors who are divorced and that the difference is particularly pronounced among women."
con_6_6	Lawyers suffer from alcoholism and drug use	 Lawyers suffer from alcoholism and drug use Notre Dame's magazine summarizes some of the studies: "Lawyers also suffer from alcoholism and use illegal drugs at rates far higher than nonlawyers. One group of researchers found that the rate of alcoholism among lawyers is double the rate of alcoholism among adults generally, while another group of researchers estimated that 26 percent of lawyers had used cocaine at least once -- twice the rate of the general population. One out of three lawyers suffers from clinical depression, alcoholism or drug abuse. Not surprisingly, a preliminary study indicates that lawyers commit suicide and think about committing suicide more often than nonlawyers."
con_6_7	Big Law lawyers can't have much of a life outside of work.	Big Law lawyers can't have much of a life outside of work. Steven Butler. "Is being a lawyer worth it?" Helium. January 30th, 2009: "Minimum billable hour expectations at large law firms, whether by stated policy or not, are typically around 2,000 hours per year. This target does not include time worked on pro-bono matters, training, attention to non-billable firm marketing and related projects, and general administrative work around the office. The pay may be incredible, but the hours are rough - making the deal not as attractive on a "dollars per hour in the office" (or chained to your cell phone and blackberry) basis. The psychological and physical costs of this lifestyle are real and don't typically fit well alongside goals of having a happy life outside the office."
headline_7	Time: Is law practice manageable in terms of time?
pro_7_1	Alternative law schedules less time consuming, more flexible	 Alternative law schedules less time consuming, more flexible Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" GPSolo magazine. July/August 2005: "In lieu of changing jobs, some practitioners are staying put in their practice areas but are seeking alternative work schedules to allow time for cultivating interests both in and outside of law. As this phenomenon grows, the demand to accommodate part-time lawyering and alternative work arrangements will escalate. This bodes well for those who desire quality time in and out of the law office. [...] For those seeking to use their legal background in a less intensive, all-consuming style, the part-time and contract practice of law have become hot topics both for individual lawyers and for law firms. With the downsizing of some firms and influx of work in others, there is a growing demand for both contract lawyers, who work on a temporary, hourly basis, and part-time lawyers, who work as permanent employees on a reduced work schedule. [...] Lawyers also are exploring alter-native work arrangements such as telecommuting (where the lawyer works with a phone and computer from a location other than the law office, hooked up to the office by modem and fax) and job sharing (where two lawyers each work a reduced schedule, either sharing cases or maintaining their own caseload, and share office space and support staff). In a job-sharing arrangement, the two attorneys often prorate benefits so that the firm is paying only benefits, such as health insurance, vacation, and sick leave, as if for one full-time lawyer."
con_7_1	Work hours at law firms are insane	 Work hours at law firms are insane "Top Ten (10) Reasons Not To Go To Law School." Karemar. July 19th, 2007: "4. INSANE HOURS - Practicing law is far from a 9-5pm job, in fact at the bigger firms it's far from a 9-7pm job. I personally don't have a problem with work but the mundane paper pushing you will be doing isn't necessarily inspiring. Prepare to spend nights in the office, weekends in the office and holidays in the office. All for what? So your managing partner who has gone through this in his past can spend the next week in the Bahamas. When does your time come to be that managing partner? Approximately 22 years from your start date. Good Luck."
con_7_2	Billing system in law firms makes for long hours	 Billing system in law firms makes for long hours "Top Ten (10) Reasons Not To Go To Law School." Karemar. July 19th, 2007: "5. BILLING. For those of you who don't know, Attorney / Lawyers bill each client per hour of work or even bill for partial increments of time spent on the client. Therefore, if you spend 10 hours at work, most firms require you to bill 8 hours a day. That's 8 hours of work for a client in which your firm is billing that client $200 to $750 an hour. Even if you were to account for every hour and actually spend that time working for the client, every client will complain! You are in a lose / lose situation. The hours you bill are always too much for your client, but never enough for the firm. This is why extra hours and Saturday's and Sundays become important days in the office so you can do more billing."
con_7_3	Lawyers are always beholden to clients' demands.	Lawyers are always beholden to clients' demands. Denise Doty. "Is being a lawyer worth it?" Helium. January 23rd, 2008: "The law is, as they say, "a jealous mistress". You are forever beholden to your client's wishes and demands, as they are the ones that pay your salary. You become adept at speaking to clients whether you are at your desk, in your kitchen, or on the soccer field. The advent of e-mail and personal communication devices have only increased the ways in which you can be contacted."
headline_8	Intellectual? Is law school and law intellectual?
pro_8_1	Law school teaches you how to think like a lawyer	 Law school teaches you how to "think like a lawyer" "Is law school a good investment?" Law Student blog. July 22nd, 2007: "A law degree is more than a degree. The law degree represents years of learning how to analyze intangible thoughts and concepts (often called “thinking like a lawyer”). A law degree also involves years of training in legal writing, research, and studying the writings of some of the brightest minds in history. These aspects will benefits students for the rest of their lives whether they are a lawyer or not."
pro_8_2	Practicing law is more art than science.	Practicing law is more art than science. Inside law school. LSAC: "Law is more an art than a science. The reality lawyers seek in analyzing a case is not always well defined. Legal study, therefore, requires an attentive mind and a tolerance for ambiguity. Because many people believe incorrectly that the study of law involves the memorization of rules in books and principles dictated by learned professors, law schools often attract those people who especially value structure, authority, and order. The study of law does not involve this kind of certainty, however; complex legal questions do not have simple legal solutions."
pro_8_3	Lawyers must teach clients complicated subjects	 Lawyers must teach clients complicated subjects Susan Basalla. "Should I Go to Law School?" The Chronicle. January 23rd, 2004: "[Evan Wilson, a Ph.D. in the humanities who attended an Ivy League law school:] although I'm not at a level yet where my teaching skills are coming in handy, I hear that later, a lot of what you do is teach complex tax codes to clients."
pro_8_4	Law school is a good way to pursue specific subjects.	Law school is a good way to pursue specific subjects. Some may be drawn into the law as a result of interest in particular subjects (e.g., the environment, intellectual property).
pro_8_5	Law school is good for those that enjoy thinking analytically.	Law school is good for those that enjoy thinking analytically. Ever element of interpreting the law, constructing cases, and defending clients involves broad legal analysis.
pro_8_6	Legal practice exercises a wide array of skills.	Legal practice exercises a wide array of skills. Skills generally required include analytical thinking, creative writing, research, communication, counseling, problem solving, negotiation and the ability to work independently.
pro_8_7	Lawyers often must think theoretically and creatively.	Lawyers often must think theoretically and creatively. "In Defense of Law School--A Response to Lippe." Jurisdynamics. July 10th, 2009: "I know from my practice days that lawyers at law firms with sophisticated clients are often asked to think outside the box, to propose changes to legislation or regulations, to make novel arguments in court, and to suggest cutting edge legal strategies. Moreover, the legal profession extends far beyond law firms and in-house counsel offices. Lawyers working for public entities and non-governmental organizations are even more likely to be asked to "invent" law for the future."
con_8_1	Law practice cultivates intellectual dishonesty	 Law practice cultivates intellectual dishonesty "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "The practice of law is the development of a habit of extreme intellectual dishonesty where the routine is to state one's opponent's arguments as uncharitably as possible in aid of weakening their impact and conceal every possible fact or principle that is against one's interest which one isn't explicitly required to disclose." 
con_8_2	Law cultivates pettiness more than intellectualism	 Law cultivates pettiness more than intellectualism "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "Pettiness. As I've been emphasizing, much of the nastiness in the practice of law is in small-minded disputes about nothing points of procedure and other maneuvering for tactical advantage. Do you really want to practice being the kind of prick who demands that pleadings be thrown out for being one day late?" 
con_8_3	Lawyers rarely engage in intellectual work	 Lawyers rarely engage in intellectual work "Myths about going to law school." Penelope Trunk's Brazen Careerist. May 16th, 2007: "Myth 5: I'll have intellectually challenging work. [...] Early in your career, you will probably spend a lot of time reviewing documents all day rather than tackling great intellectual issues. Even litigators – many of whom go into law to argue exciting, constitutional issues — will spend most of their time researching mundane procedural issues at the beginning of their career."
headline_9	Excitement? Can law practice be exciting?
pro_9_1	Practicing the law can be very exhilarating	 Practicing the law can be very exhilarating "Why Go to Law School?" Kaplan: "Excitement. Although the life of an attorney is not really like that portrayed in the television series Ally McBeal, there are aspects of lawyering that can be a great deal of fun. Tasks such as preparing for a trial, defending a client, prosecuting an accused criminal, or putting together a business deal can give you a rush of adrenaline. The interpretation of existing law can be both intellectually challenging and exciting in itself as you participate in the continuing evolution our legal system."
pro_9_2	Dissecting and winning arguments is exciting.	Dissecting and winning arguments is exciting. Jamison Koehler. "On the True Value of a Law Degree." Koehler Law. January 16th, 2011: "As a public defender, I once spent an entire Saturday holed up in my home office studying a single, fairly obscure opinion that the prosecution was using as the basis for its case. I read all the preceding cases the opinion cited. I pulled the notes of testimony from the preliminary hearing for the case off of Lexis. I marked up my copy of the opinion.  I graphed the logic on a piece of scrap paper. And I just lay there thinking about the opinion, trying to let the case seep into my body as if by osmosis as I looked for ways to distinguish its fact from the facts of the case I was defending[...] it was always clear to me from the way the prosecutor described the case that he or she had read nothing more than the headnotes. And for the more obnoxious of us, that’s where the competitive instinct kicks in, the rush of adrenaline and satisfaction we get from sensing weakness in the opponent’s argument."
con_9_1	Law firm work is very boring	 Law firm work is very boring "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "those sixteen hour days will be spent doing things like rooting through warehouses of documents looking for privileges to avoid disclosing things in discovery. Needless to say, this work is incredibly boring. Or you could be doing piles of research on minutiae of securities law in preparation for a bloody negotiation. You'll have neverending pressure to bill more and more hours, and much of your work will be morally dubious at best, actually wicked at worst. (Consider, for example, how many lawyers must have been involved in the efforts to bury all the incriminating tobacco company documents.)"
con_9_2	Legal work requires sitting at a desk for long hours.	Legal work requires sitting at a desk for long hours. "Is being a lawyer all that bad?" The Healthy Lawyer. March 3rd, 2009: "My last problem with being a lawyer is that I didn't realize how much I would hate sitting at a desk all day long. That is why I said if I wasn't a lawyer I would want to be a personal trainer. I get up and go to the water cooler or bathroom so many times during the day, just because I hate sitting still."
con_9_3	Lawyers rarely see the inside of courtrooms	 Lawyers rarely see the inside of courtrooms "5 Myths about going to law school." Penelope Trunk's Brazen Careerist. May 16th, 2007: "Most lawyers never see the inside of a courtroom. About 95% of all civil law suits that are filed are settled before trial. Much of the work of a 'litigator' involves reviewing documents, preparing court filings and negotiating with the lawyer from the other side of the case."
headline_10	Work environment: Is the legal work environment positive?
pro_10_1	Legal work environments can be very collegial	 Legal work environments can be very collegial Susan Basalla. "Should I Go to Law School?" The Chronicle. January 23rd, 2004: "[Evan Wilson, a Ph.D. in the humanities who attended an Ivy League law school:] 'I prefer working in the legal world. I'm much happier here -- it's much more collegial than academe. I feel much more like people are pulling together. Academe had so many bitter fights over nothing.'"
con_10_1	Lawyers can be jerks; very hard to compete against	 Lawyers can be jerks; very hard to compete against "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "You'll be Surrounded by Jerks. The lawyers-as-jerks stereotype is one that has more than a grain of truth to it, in my experience. In about four and a half years of actively practicing law, I came across numerous examples of utterly atrocious behavior, often in litigation. It's not always big things -- though big things are the ones that hit the news -- but patterns of obstreperous behavior and downright stupidity that can wear you down over a day-to-day basis. Bickering over stupid document production requests, delays, phantom schedule conflicts... all these things add up. Contemporary lawyering is often an expensive form of childish game-playing with the rules of civil procedure. It's psychological warfare for minute tactical advantage." 
con_10_2	Lawyers can be jerks; very hard to work with.	Lawyers can be jerks; very hard to work with. Even inside of firms, among colleagues, the battle-hardened legal world can create an unfriendly work environment.
con_10_3	Clients are a frustrating part of law practice	 Clients are a frustrating part of law practice "Top Ten (10) Reasons Not To Go To Law School." Karemar Blog. July 19th, 2007: "The best reason not to go to law school and not to become a lawyer is this: CLIENTS. Clients destroy the practice of law and in fact destroy the enjoyment of most businesses, however in law, clients are the worst. Clients hardly ever pay their bills, insist on running the show, though they know nothing about the law, and torment you with incessant calls and emails. [...] Clients are not for me, some people put up with clients and their whining. I, however seek to create value to users through new business opportunities. No more hand holding and babying grownups."
headline_11	Personality traits: Does law school cultivate good personalities?
pro_11_1	Diversity in law fits diversity of personalities	 Diversity in law fits diversity of personalities Ben Paris, Curriculum Director for Graduate Programs at Kaplan Education Center: "There's no one personality profile for successful lawyers. Many people think that lawyers have to be super-competitive and argumentative, but that just isn't so. If you're interested in litigation, you probably have to be able to deal with confrontations, but most lawyers aren't litigators. There's enough variety in the law profession for many different kinds of people to make a meaningful contribution."
con_11_1	Law school cultivates arrogance	 Law school cultivates arrogance "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "Arrogance. A lawyer is surrounded largely by non-lawyers who come to him/her for expert advice. That alone can encourage some arrogance, but even more is necessary for the psychological warfare between lawyers. Lawyers often try to use extreme false confidence (a.k.a. arrogance) to intimidate one another into tactical concessions, e.g. by making the other lawyer think that they've screwed up, that "things are always done this way," etc. That is a tactic especially used by older lawyers against younger ones. The younger ones need to develop their own armor of arrogance to resist it."
con_11_2	Lawyers become uninteresting people	 Lawyers become uninteresting people "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "Uninterestingness. The practice of law takes so much of one's time that one can engage in few activities with the rest of one's life. It is also so stressful that one tends to obsess about it. The result is that lawyers can become very boring people, with nothing to talk about except their ugly jobs." 
con_11_3	The legal practice breeds impatience in life	 The legal practice breeds impatience in life "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "Impatience. See above with respect to stress. Also, the law is a very deadline-driven occupation, especially in litigation. There's always more work to do than there is time to do it in, and there's always a court and opposing counsel breathing down your throat with respect to strict deadlines. If you miss a deadline, the consequences can be terrible: a lost case, a malpractice claim against you, etc. Don't be surprised when this spills over and you find yourself swearing at people who walk too slowly while crossing the street."
con_11_4	Legal practice breeds aggressiveness	 Legal practice breeds aggressiveness "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "Aggressiveness. Again, the psychological warfare between lawyers rewards this."
headline_12	Legal acadamia: Is this a good career prospect?
con_12_1	Getting a job in legal acadamia is almost impossible	 Getting a job in legal acadamia is almost impossible Paul Gowder. "Why you shouldn't go to law school." Law and Letters. November 15, 2007: "[...] legal academia, which is a great job, but one which is reportedly nearly impossible to get unless you've either law review + super clerkship at a top 3 school, or phd plus some combination of above, etc.)"
