title	Capitalism vs socialism
question	Which is the superior system, capitalism or socialism?
headline_1	Broader philosophies: What are the opposing philosophies of each system?
con_7_1	Market prices do not reflect social cost	 Market prices do not reflect social cost Market prices do not include any costs to third parties, including anything from individual people all the way up to the ecosystem as a whole (these are called externalities). These costs could be negative, such as pollution, or positive, such as pollution cleanup. Negative externalities are overproduced (on a scale of what is socially acceptable) and positive externalities are underproduced - since accurate prices would make actions with negative externalities more expensive and actions with positive externalities cheaper, meaning more positive externalities would be produced and less negative externalities (it would about approximate the social cost). That would be accurate pricing. But social costs are excluded from pricing in the capitalist marketplace (they affect a third party) so it is economically rational to produce more negative social and less positive social cost cost than is socially rational.
con_7_2	Payment schemes under markets are unfair.	Payment schemes under markets are unfair. When people are paid more in the market it doesn't mean that people believe in what they are producing more. It means that they own more property, have more bargaining power or are better at making other people pay the bills (often by exploiting them). So the best way to make money under capitalism is not to produce something good that we all love, but to already be rich or to be a thug. The more money you have the more money you will get in the future, do to payments for property, increased bargaining power due to having lots of money. And the less money you have, the less you will get in the future, for the inverse of the same reasons. Rewarding thugs and people who are lucky enough to already have alot of money (that they usually got by extracting value from other people's labour) hardly seems like a fair method of remuneration. In fact, it seems like the exact opposite. And the idea that transactions in capitalism do not harm either party is a myth. See the argument on exploitation (in the inequalities section) and the argument on imperialism (in the history section) for a rebuttal. For more problems of capitalist markets see here.
con_7_3	Markets often go against human interests and values.	Markets often go against human interests and values. This is because of the way that they measure success. The way that markets measure success is through GDP. But the values that this gives to things is depraved in human terms. It under-appreciates things like using less gas (and thus polluting less), walking to work instead of taking a car, eating with friends, sharing, playing cards and doing a service for a neighbor without asking for money in return. In fact, many of these things subtract from GDP. Conversely, getting cancer, being in a car crash, being diagnosed with schizophrenia, getting a divorce and murdering someone can all, unfortunately, add to GNP. And, yet, despite the frequently counter-human nature of GDP, it is the popular capitalist measure of whether human societies are advancing or regressing. 
headline_8	Economics: Which is more economical or efficient?
pro_8_1	Efficiency isn't the major goal of capitalism as a whole.	Efficiency isn't the major goal of capitalism as a whole. It will by its very nature provide checks and balances to its working system. Efficiency is a by-product of a good idea, ideas that are faulty will collapse as long as corruption is held at bay. 
pro_8_2	Capitalism allocates capital/resources most efficiently.	Capitalism allocates capital/resources most efficiently. The reason for this is that capitalism gives individual investors the highest of personal incentives to choose wisely where they put their money: putting it where (to that individual's best knowledge) it can make the most money, which is where there is the greatest demand for a service and the greatest ability of a company to provide that service efficiently.  
pro_8_3	Capitalism provides people with what they actually want.	Capitalism provides people with what they actually want. Capitalism is based on the idea that services and goods will exist only because there is a demand for them. They will not exist if individuals do not want them, as demand will fall, and a company providing a good or service will simply go out of business. Resources will not be wasted on the good and services not wanted, and instead will, eventually, be put behind those that are wanted. And, the system constantly adjusts itself to make sure it supplies exactly what people actually want, in exactly the amounts that are actually demanded. This is because a company will not generate enough revenue to sustain supplying more than is actually demanded. Socialism, conversely, relies to a greater extent on the government (theoretically the collective body of people), struggling to supply goods and services on the speculation of whether those goods and services are desired, but without a direct feed-back loop that kills supply of goods that are not wanted. Under socialism, a government employee may have the power to continue a service because it is considered to have the potential to meet future demand, or because it is believed to be important and in the interests of the public good. But, this program can be supplied for months and even years by tax revenues, and without the restraints of revenue to hold-back spending. Programs can continue for months, years, and even decades that should have died, with many resources being wasted in the process. 
pro_8_4	Competition produces more valued goods more cheaply.	Competition produces more valued goods more cheaply. Competition yields better products and more efficient processes in all fields of man's activities.
pro_8_5	Planned economy is never as effective as free markets.	Planned economy is never as effective as free markets. 
pro_8_6	Socialist governments slow progress of markets.	Socialist governments slow progress of markets. The guiding hand of government is too strong in a socialist system; it means that change is slow – which means that innovation is missed. This isn’t just pro-business, it has real effects on the lives of citizens - people are poorer because of it. In a capitalist system, economies are diverse enough that when problems happen in one sector, others are often insulated by their differences. In a socialist system, where everything is centrally controlled and diversity is non-existent, when government gets things wrong, everyone suffers. Ultimately, socialist systems are so inefficient and corrupt that labour has to be forced for the state to continue functioning (though this may also be a logical outcome of thinking less of the importance of individual freedoms compared to some abstract communal good). The failure of the USSR and other command economies shows the poverty of socialism and the failure of central planning, as on a smaller scale does the failure of nationalised industries in many western countries.
con_8_1	Socialism has shown itself to be very efficient	 Socialism has shown itself to be very efficient. A prime example of this is the Spanish Revolution. Information and explanations are given on the Spanish revolution in the argument (and argument page) genuine socialism has greatly improved societies (in the history section) and information on how socialism in the Spanish revolution not only brought prosperity and improvement of life to the Spanish people, but also economic efficiency is given. To take a few examples, In socialist Aragon, in which 70% if the rural population had voluntarily collectivised (the rest had chosen not to and were given the freedom to do so), productivity rose 20% during the time of the revolution.  According to Dave Markland "agricultural production and deliveries were strongest in the anarchist [socialist] areas" of Spain (see extended argument page for more examples). And all of this was achieved while fighting a civil war and a against a counter-revolution, both of which caused massive drains on the resources of socialist Spain. More information can be found in the argument page of socialism has greatly improved societies (in the history section). 
con_8_2	Capitalism has shown itself to be inefficient	 Capitalism has shown itself to be inefficient. For example, by 1995, after neo-liberal deregulation which brought a purer capitalism than the social democratic era that preceded it, 95% of financial transactions were speculative and only 5% were related to the real economy. That means that only 5% of transactions actually involve production and trade of goods and services and bring tangible improvements, affecting the lives of ordinary people. On the other hand, 95% of economic transactions in capitalism just go into setting prices and bringing profits to the capitalist class, or in some cases the upper middle class, generally at the expense of the working or peasant classes since they are excluded from financial speculation. The speculative transactions waste time that could be spent working on production and consumption which affect the ordinary people, and the profits made through speculation are coming from their wages - which goes part of the way to explaining the decline in real wages during the neo-liberal period of capitalism. That figure is the generally accepted figure but the source used here is Profit Over People: Neoliberalism And The Global Order by Noam Chomsky.
con_8_3	Capitalism grossly mismanages resources.	Capitalism grossly mismanages resources. According to the UN "The Right To Food: Commission on Human Rights Resolution 2002/25” 36 million people starve to death every year despite the fact that the world currently produces enough food to feed everyone and according to the Food And Agricultural Organization Of The United Nations' 2008 report the world could produce twice as much food. In other words, we produce enough food to feed everyone, and we could produce twice as much, but someone still starves to death every second. If that is not mismanaging resources then what is?
con_8_4	Socialism provides people with what they actually want.	Socialism provides people with what they actually want. In collective socialism workers' and consumers' councils interact through the participatory planning process to determine what is produced and consumed. This means that what is produced is exactly what the consumers demand. And since people take part in decisions to the degree they are affected, what is produced moves even closer to what is socially wanted and responsible. Mutualist socialism is dictated by supply and demand so it provides in the same way that capitalism does. However, advertisements in capitalism are designed to brainwash consumers into buying things that they do not want by creating subconscious attachment to the product. This means that the things are produced and sold do not reflect what people want per say, but they reflect what will make profit for the top corporations that control capitalism. In short, socialism provides people with what they actually want, and need, much better than capitalism does.
con_8_5	Centralized currency is biased toward scarcity and hoarding.	Centralized currency is biased toward scarcity and hoarding. This is, in part, because it appreciates in value when it is not spent. And centralized currency is an integral part of capitalism. This bias slows down the rate at which money circulates and means that instead of being spent on boosting communities and stuff like that, money is spent on increasing individual consumption or just making yourself already richer, so society suffers.
con_8_6	Socialism is more efficient than capitalism	Socialism is more efficient than capitalism.
con_8_7	Socialism has control, unlike capitalism	 Socialism has control, unlike capitalism Socialist economies are very well planned and has control over all the industries, thus providing a guiding hand in building and contstructing its economy. A government wants its country to succeed, however a corporation only wants itself to succeed, even if its country is going to be doomed. The government doesn't care for money. It doesn't care for greed. It only cares for its country's status and for the country's own good. So, which would you choose? A greedy corporation or a government that only cares for the country's good? The government will be choosen of course, and that's what socialism means.
con_8_8	Unplanned capitalist economies undergo dramatic volatility.	Unplanned capitalist economies undergo dramatic volatility. Economies in capitalist systems are essentially unplanned, so they often crash, producing depressions that damage the lives of millions. Socialist economies are planned, which means that problems can be foreseen and prevented. Ultimately, socialism guides with the aim of human happiness in mind, rather than the glorification or gratification of a particular individual or class.
headline_9	Competition: Which more effectively allows competition for the people's attention?
pro_9_1	Capitalism actively breaks monopolies to foster competition.	Capitalism actively breaks monopolies to foster competition. Whilst it is true that monopolies sometimes form, these are combated by regulatory methods like monopolies commissions (witness attempts to break up Microsoft, or regulators forbidding the merger of some airlines on competition grounds). So capitalism actively tries to stop monopolies. On the other hand, monopolies are inevitably a part of every aspect of activity in socialist systems - the monopoly of the state.
pro_9_2	Capitalist competition continually improves with technology	 Capitalist competition continually improves with technology Bill Gates: "The Internet will help achieve 'friction free capitalism' by putting buyer and seller in direct contact and providing more information to both about each other."[12]
con_9_1	Capitalism is characterized by monopolies, not competition.	Capitalism is characterized by monopolies, not competition. As everyone knows, monopolies are often formed under capitalist systems. Corporations were first chartered with the aim of gaining a monopoly over whatever area the monarchs chartered them in. So the need to monopolize is built into the basic logic of capitalism. The giant conglomerates that dominate world trade are proof of this. On the other hand, no monopolies exist in genuine socialism so there is no transfer of wealth to the centre or the pushing out of small, local groups - two important characteristics of monopolies.
con_9_2	State monopoly is not present in a socialist system.	State monopoly is not present in a socialist system. A truly socialist system is classless and everyone owns the means of production. That is hardly a state monopoly. There are no monopolies. The productive resources are owned by everyone collectively (or no-one if you like).
con_9_3	Capitalism subverts cooperation.	Capitalism subverts cooperation. For a society to work (let alone work well) the people in the society need to cooperate together. Competition can only be good if there are sufficient levels of cooperation. In fact, in many cases, a society based on cooperation can achieve far more, in much fairer ways, than a society based on cooperation. For the case made for a society based on cooperation see Mutual Aid: A Factor In Evolution and The Conquest of Bread by Peter Kropotkin, For All the People: Uncovering the Hidden History of Cooperation, Cooperative Movements, and Communalism in America by John Curl, Bakunin on Anarchism by Sam Dolgoff, Anarcho-Syndicalism: Theory and Practice by Rudolf Rocker, Economic Justice and Democracy by Robin Hahnel,  Parecon: Life After Capitalism by Michael Albert and here. But capitalism prevents meaningful cooperation (a brief explanation is given in the argument on Capitalism subverts community, solidarity, productivity. For the effects that capitalist competition has on society see the argument on In capitalism, profit is made through exploitation (in the inequalities section), the extended argument on capitalism fosters imperialism, exploitation and suffering (in the history section) and the argument that capitalism has a systemic bias against helping others (in the charity section) - all give links for further reading. 
headline_10	Charity: Which fosters greater charity?
pro_10_1	Capitalism fosters, does not prevent, charity.	Capitalism fosters, does not prevent, charity. There are lot of rich people in capitalist society who provide grants for charity funds, student fellowships etc. After all, anybody in a capitalistic society can take some of his own money or goods today, out of his/her free will, and go and give them to other (poorer) people, if he or she feels it's the right thing to do. Capitalism doesn't prevent that; nor does it prevent you from keeping your earned goods/money if you want to. Some examples of rich people who donated to charity are Bill Gates, Oprah, and others.  On the other hand, socialism actively and rather aggressively restricts the amount of riches one can have. So, out of the two, capitalism clearly offers more choice.
pro_10_2	There is less charity in a socialist society.	There is less charity in a socialist society.  Every resource considered by the majority to be either necessary or highly desirable is supplied through government.  Government acquires these resources via taxation.  Taxation does not require consent.  Therefore, the resources used and provided to members of a society are not obtained through voluntary giving, which is the definition of charity.  Since the majority in a socialist society believes that everyone has access to all necessary and highly desirable resources, then they have little motivation to sacrifice their personal resources to benefit another member of that society.  They believe that it is not their responsibility to help others, rather, responsibility exists within government.  
con_10_1	Capitalism has a systemic bias against helping others.	Capitalism has a systemic bias against helping others. Since third parties are externalised from prices in capitalism, it is economically inefficient to consider the effects that something has on others. And since this exclusion of third parties leads to the overpricing of positive externalities and the underpricing of negative externalities, it is cheaper to exploit someone than it is to be fair towards them (see the section on market prices for more detail). This is compounded by the selfish pursuit of profit that capitalism encourages (see the section on individual desires for more detail) . These combine together to mean that it is economically inefficient in capitalism to consider others and so charity and solidarity is punished, whereas anti-social behaviour is rewarded with profits. A perfect example of this is fair-trade: since workers are treated equitably in fair trade products, they become more expensive (the overpricing of positive social costs) and are thus rare and often unaffordable except for the well-off. 
con_10_2	Socialism provides motivation of aiding fellow man.	Socialism provides motivation of aiding fellow man. The impulse to share wealth and material amongst the community, to support all, leaving none behind, is one of the purest among humankind. Socialism harnesses this impulse effectively, whereas capitalism tends to squash it in favor of individualism and competition.
con_10_3	Charity is not meaningful in a capitalist system.	Charity is not meaningful in a capitalist system. Charity is invalidated in capitalism because if you steal a million pounds from someone and then give them a pound of charity because they are starving then that is not increasing their living standards.
headline_11	Decision-making: Which offers more decision-making apparatuses?
pro_11_1	Socialism poorly adapts to change.	Socialism poorly adapts to change. Well, life is unpredictable. Socialism promises predictability - or what else is there to imagine under this "right to live"? But there is nobody who can tell what tomorrow will bring, nobody and nothing that can guarantee well being. The basic premise of socialism is therefore as realizable as perpetuum mobile. Sometimes, the crops may be bad, natural disasters can strike, new technologies can emerge so your knowledge or skill is no longer valuable. Capitalists usually quietly and peacefully (though, of course, not necessarily lightheartedly and easily) accept these changes or losses as a thing that life brings, and learns how to adapt to the new circumstances. Socialists, on the other hand, usually begin a fruitless and absurd search of whom to blame for (not predicting) these abrupt changes, with the "outcome" of this "search" usually being "the capitalist behaviour" of some individual or a group of people, against whom the aggressive anger of the "common people" is subsequently senselessly turned.
pro_11_2	There are multiple methods of decision-making in a capitalist society	There are multiple methods of decision-making in a capitalist society  Because of the free market people are free to experiment with various methods of organization and decision-making concerning the acquisition and distribution of resources.  People are free to make decisions by themselves or within a group.  Under a socialist government people must either participate in group decision-making or make no decision at all.  The method of decision-making is decided by the majority within that group.  
con_11_1	Socialism puts planning into the hands of the people.	Socialism puts planning into the hands of the people. In collective socialism workers' and consumers' councils interact through the participatory planning process to determine what is produced and consumed. In this system of planning, each workers' or consumers' council (in their federations) make a proposal for what they want to produce or consume and other workers' and consumers' councils can approve or reject the proposal. If the plan of an individual council is rejected then it is responsible for editing and resubmitting it.  This process means that what is produced is exactly what the consumers demand and what the workers are happy to produce. It means that each person takes part in a decision to the degree they are affected, solidarity is encouraged, democracy and self-determination is promoted, and a plan comes together that everyone is happy with. It means that social costs can be respected and plans can be made without domination. It also means that the plans will be fair since they have been made by everyone involved to the degree they are affected. See Participatory Planning for the best overview of this process and for more detail see Economic Justice and Democracy by Robin Hahnel and Parecon: Life After Capitalism by Michael Albert.
con_11_2	Socialism can effectively respond to crises.	Socialism can effectively respond to crises. A truly socialist society would be far more versatile and flexible than any capitalist one. Since there would be no classes and decisions would be made by the people, they would be able to make decisions that would best avert the crisis for the average people, not the elites (like in capitalism or fake socialism). And since decision making would be truly democratic it would be easy to change things about the society if everyone wanted it. 
headline_12	Conflict: Which better manages and possibly prevents conflict, war?
pro_12_1	Free trade promotes the most peace and solidarity	Free trade promotes the most peace and solidarity  When people are interdependent upon one another for goods and services they are significantly less likely to intentionally cause each other harm.  In addition, since only governments can enter into war, and since no government is a capitalist government, then capitalism cannot cause war.  At the worst, an individual capitalist or group of capitalists can petition the government to create or enter war, but only governments through their military may take this initiative.
con_12_1	Capitalism grossly misdirects money to military	 Capitalism grossly misdirects money to military According to the 1998 UN Human Development Report, the additional cost of achieving and maintaining universal access to basic education for all, basic health care, reproductive health care for all women, adequate food and clean water and safe sewers (in other words, ending poverty) would amount to roughly $40 billion a year. The current military budget for the entire world is $1.1 trillion a year. This is 27.5 times the amount that would be need to ensure universal access to all of those things. This is mismanagement, driven in large part by the profit-interests of the "military industrial complex".  In other words, 1/27 of the amount of money that we spend on killing each other and working out how to kill each other could end poverty (the single biggest killer in existence) but that money doesn't go to ending poverty because the military is profitable but ending poverty isn't! This misdirection of money is also a result of the need in capitalism for imperial conquests to expand profit and power. This misdirection of money to the military and the arms trade fuels war and conflict and a grievous level. 
con_12_2	Capitalism necessitates imperial wars of conquest.	Capitalism necessitates imperial wars of conquest. See the section (and the extended) argument of how capitalism fosters imperialism, subjugation and suffering for information and explanation on this. But for now, suffice it to say that imperial wars are necessary in capitalism to bring a flow of cheap resources from the peripheries to the centre and to create cheap markets for goods produced by the top corporations. This is why capitalism has never existed without wars, particularly colonial wars and the civil wars that result from a society wrecked by colonialism. See here for an explanation of how capitalism causes militarism and war. 
con_12_3	Capitalism necessitates war for profit.	 Capitalism necessitates war for profit. In What is Anarchism Alexander Berkman spoke of "the capitalistic interests of the various countries fight[ing] for the foreign markets and compete with each other there" and when they "get into trouble about concessions and sources of profit," they "call upon their respective governments to defend their interests . . . to protect the privileges and dividends of some . . . capitalist in a foreign country." According to an article from create real democracy there are 6 ways that corporations profit from war: control of strategic resources, building weapons, waging wars, reconstruction, debt and privatisation/corporatisation of the conquered nation. (See the extended argument page for sources on how to find out about war for profit in capitalism and about the military industrial complex, as well as their effects. For example, the size of the military industrial complex in the US economy is so large that since 2006 over $889 billion ($889,918,604,053) worth of contracts have been handed out, all of which lead to vast profits for US based corporations (see [13]).
con_12_4	Capitalism does not peacefully accept losses.	Capitalism does not peacefully accept losses. When capitalism is faced with troubles it's typical reaction (it meaning the elites who run the show) is to steal from the poor so as to offset the (minor) losses that the rich have experienced. A brief look at history will confirm this but here is a recent example that illustrates this point: One of the ways the rich countries have reacted to the 2009 economic crisis is to make massive land grabs in poor countries, mostly Africa. Now, most of Africa is in a food crisis but the rich countries have still bought huge amounts of land to profit off. 
headline_13	Environment: Which system is better for the environment?
pro_13_1	Socialism could do great damage to the environment.	Socialism could do great damage to the environment. Without private means of production there are no private citizens to hold responsible for environmental harm which certain industries may cause if not run conscientiously. Placing industry in the hands of the state equates to putting the fox in charge of the henhouse, i.e. putting government in a position of conflicting interests. If it is actually possible, stateless socialism might avoid this if we revert to pre-industrial technology and a world population with pre-industrial sustainability i.e. euthanize the majority of the current pop. This would of course (one would hope) invalidate the reason we worry about environmental disaster e.g. the people whom it may harm and it makes future survival of our species much less likely in the face of potential large scale natural disasters.
pro_13_2	Capitalism has a neutral impact	Capitalism has a neutral impact Within a capitalist system, the environment will be harmed only if people choose to engage in economic activity that harms the environment.  However, if they choose against engaging in economic activity that harms the environment, such as through "reducing, reusing, and recycling", purchasing products with organic materials or ingredients, buying clean energy, boycotting environmentally-unfriendly businesses, etc., then the environment will not be harmed.  Under a socialist government the majority may decide to support activity that harms the environment, and the minority will be unable to refuse to contribute to that harm.
con_13_1	Capitalism is destroying the world ecosystem	 Capitalism is destroying the world ecosystem. Anyone familiar with recent history will know that our species is fast becoming suicidal. This is directly related to capitalism and it's need to continuously grow, in which shareholders require a greater and greater return on their investments. In general, this places larger and larger strains on the natural environment, as it means that more and more resources are being used to supply more and more products and services to each per person on the planet. And environmental costs are externalised in capitalist pricing (they affect a third party) and so it is economically efficient to ignore them, and economically necessary in order to keep maximum profits. Capitalism, by its structure must destroy the ecosytem to survive (see the extended argument page for explanations and examples of this). This shows that, under any moral or social definition of the word "work", capitalism cannot be considered a system that works, since its existence has caused the 6th mass extinction of earth's history and may very well lead to the extinction of humanity. For more detailed information on the relationship between capitalism and ecocide see [14], How the Rich are Destroying the Earth by Herve Kemph, The Vulnerable Planet: A Short Economic History of the Environment and Ecology Against Capitalism by John Bellamy Foster, The Enemy of Nature: The End of Capitalism or the End of the World by Joel Kovel, chapters 3 and 4 of Economic Justice and Democracy by Robin Hahnel and The Modern Crisis and The Ecology of Freedom: The Emergence and Dissolution of Hierarchy by Murray Bookchin, as well as [15] and [16], and for a concise source of information about the environmental catastrophe that we are facing see Little Earth Book by James Bruges.
con_13_2	Socialism has inbuilt mechanisms to protect the ecosystem.	Socialism has inbuilt mechanisms to protect the ecosystem. Since through participatory planning (then planning mechanism for genuine socialism) everyone gets a say in decisions that affect them, the people most affected by an environmental decision would get the most say and would thus override decisions that harm the ecosystem they rely on. Since to destroy an ecosystem would need the permission of the people who rely on it, it is almost inconceivable that socialism could harm ecosystems. In fact, the main currents of the ecological movements have been socialist, such as social ecology or eco-socialism. There is much more to this but this is the basics. For much more detailed information on how socialism can, and would, protect the environment see chapter 8 of Economic Justice and Democracy by Robin Hahnel, The Ecology of Freedom: The Emergence and Dissolution of Hierarchy, Toward An Ecological Society and others by Murray Bookchin, The Ecological Revolution: Making Peace With Our Planet by John Bellamy Foster, [17] and others in the social-ecology and eco-socialist movements.
con_13_3	The argument that socialism could do damage to the ecosystem rests on two erroneous assumptions.	The argument that socialism could do damage to the ecosystem rests on two erroneous assumptions. The first assumption is that socialism is a statist society. This is completely false: as socialism (at its core) is a classless society where workers own the means of production it is very rare (if impossible) that socialism could be a state society - there are exceptions (such as Kerala, Bolivia, etc.) but that is because they are transitioning towards socialism, and in doing so are gradually taking away state power and putting it in the hands of the people. The second assumption is that stateless socialism can only exist in pre-industrial societies, a lá the ideas of Zerzan and other primitives. This blatantly false: the largest and best example of a socialist society was the spanish revolution, which was an industrial society, and most ideas for socialist societies (such as Prouhon's Mutualism; Bakunin's Collectivism; Kropotkin's Anarchist Communism; Bertrand Russell's Guild Socialism; Pannekoek's Council Communism; Rocker's Anarcho-Syndicalism; Albert's and Hahnel's Parecon; Shalom's Parpolity; and others') have been for industrial societies. So both assumptions that the argument that socialism could harm the environmnt are erroneous. 
headline_14	Freedom: Within which system is there more economic freedom?
pro_14_1	Everyone has a voice within a capitalist society	Everyone has a voice within a capitalist society Whether rich or poor, educated or uneducated, a part of a majority group or a part of a minority group, all non-imprisoned adult persons have the freedom to choose how to acquire and utilize their money.  They may purchase products made from recycled materials, or not.  They may buy marijuana, or not.  They may buy a book about capitalism, or not.  People are entitled to offer any kind of work for any kind of pay, and people are entitled to choose where to work and accept or reject an offer of wages.  Under a socialist system the freedom to acquire and utilize money is restricted based on the values of the majority.  You may be required to or prohibited from giving money to a religious group, an abortion clinic, a restaurant chain, etc., depending on the values of the majority.  If you are in the minority opinion you have little freedom to choose.
headline_15	Public opinion: Where does the public stand?
pro_15_1	People generally prefer capitalism to socialism.	People generally prefer capitalism to socialism.  "Last November [2009] a survey of 29,000 people across 27 countries (almost all democracies) by GlobeScan and the BBC World Service found that only 23% agreed that capitalism is "fatally flawed" and needs replacing. Some 51% believed it had problems that could be addressed through regulation and reform, and a further 11% were happy with the system as it is." (The Economist, "Old dogs and new tricks", February 13th 2010) 
con_15_1	That poll shows that capitalism is not popular.	That poll shows that capitalism is not popular. More than twice as many people think that capitalism is fatally flawed and needs to be changed than people who think that capitalism is good as it is. It is very difficult to figure out the meaning of the majority for reforms because it is impossible to tell whether it is a result of the endless propaganda preaching that there are no alternatives to capitalism or whether it is a result of people thinking that reformed capitalism is the best system. No matter what that means, the fact that capitalism is so unpopular despite endless propaganda (through the mainstream media, all the corporate propaganda (see Taking the Risk Out of Democracy: Corporate Propaganda versus Freedom and Liberty by Alex Carey and see here for a brief overview), public relations campaigns, the internalised effects of advertising, and the way that people internalise their society)  shows how deeply people are against capitalism. And the poll was from the rich countries, where the people have benefitted from the exploitation of others. Polls were not taken in the third world countries that have suffered the most from capitalism (a couple were and the results were obvious: in Mexico 38% of people think that capitalism is fatally flawed and that figure is 35% in Brazil - it is unlikely that that many people have felt their societies were fatally flawed (with all the factors mentioned earlier and with the prevalence of reformism everywhere) in many other societies and those figures represent massive dissatisfaction with capitalism.  Capitalism is so unpopular that people in Russian (61%) and Ukraine (54%) would rather the utter tyranny of the Soviet Union. Results of the poll can be found here.
con_15_2	Other polls show that socialism is more popular than capitalism.	Other polls show that socialism is more popular than capitalism. For example, according to a recent gallup poll (found here) people in 17 out of 19 Latin American countries are more likely to call themselves socialists than capitalists - For example in Paraguay people are 5.37 times ad likely to call themselves socialist than capitalist (making a ratio of 5.37:1 in favour of socialism); that number is 4.33:1 in Nicaragua; 4.2:1 in Trinidad and Tobago; 3.33:1 in Uruguay; 3.27:1 in Venezuela; 2.74:1 in Costa Rica; 2.66:1 in Ecuador; 2.45:1 in Argentina; 2.22:1 in Peru; 2.12:1 in Bolivia; 1.71:1 in Dominican Republic; 1.69:1 in Chile; 1.69:1 in Columbia; 1.67:1 in Brazil; 1.65:1 in Guatemala; 1.29:1 in El Salvador; and 1.1:1 in Honduras. The only 2 countries that show greater popularity for capitalism are Panama, where the ratio of people describing themselves as socialist as opposed to capitalist is 0.87:1, and Mexico, where it is 0.81:1. It must be noted that both Panama and Mexico are dictatorships (with demonstration, but fake, elections) in which just being socialist is enough to get you arrested, or worse, as are Honduras and Columbia, so the support for socialism would probably be even greater there since people are afraid of speaking out. That all means that overall, a Latin American is 2.38 times as likely to consider themselves a socialist as opposed to a capitalist, despite the heavy repression of socialist in some countries and the history of it in others. The history of capitalist imperialism in Latin America provides ample enough reason why the Latin Americans feel like this. For information on the history of capitalist imperialism in Latin America see Open Veins of Latin America: Five Centuries of the Pillage of a Continent by Eduardo Galeano, Jungle Capitalists: A Story of Globalisation, Greed and Revolution by Peter Chapman, Year 501: The Conquest Continues by Noam Chomsky and Against Empire by Michael Parenti.
con_15_3	Capitalism has always been fought against by workers.	Capitalism has always been fought against by workers. This conclusion is strongly supported by the fact that throughout history the working class has fought and struggled against capitalism (see Another World Is Possible: Globalization And Anti-Capitalism by David McNally, The New Latin American Left: Utopia Reborn by Patrick Barrett et al. and  Direct Action: An Ethnography by David Graeber for recent examples, and see The Making of the English Working Class by E. P. Thompson, Anarcho-syndicalism: Theory and Practice by Rudolf Rocker, Dynamite: The Story of Class Violence in America by Louis Adamic, Dynamite: A Century Of Class Violence In America 1830-1930 by Chris Gray, and here for some historical examples - for the most comprehensive attempt to document the history of this see The Third Revolution. Popular Movements in the Revolutionary Era Volume 1, Volume 2, Volume 3 and volume 4 by Murray Bookchin.) Throughout the entire existence of capitalism there has always been huge working class struggle against it, including labour action, revolts, insurrections and revolutions, among other methods. 
